2020-11-23 18:09:52.634 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:09:52.736 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:09:54.252 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:09:54.253 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:09:54.359 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:09:56.155 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:09:56.155 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:09:56.226 +03:00 [ERR] An unhandled exception has occurred while executing the request.
System.ObjectDisposedException: Cannot access a disposed object.
   at System.Threading.TimerQueueTimer.Change(UInt32 dueTime, UInt32 period)
   at System.Threading.Timer.Change(Int32 dueTime, Int32 period)
   at System.Timers.Timer.set_Enabled(Boolean value)
   at NorthwindCorp.Web.Middleware.ImageCacheMiddleware.SetupTimer() in C:\Learning\ASPNetMentoring\NorthwindCorp\NorthwindCorp\NorthwindCorp.Web\Middleware\ImageCacheMiddleware.cs:line 47
   at NorthwindCorp.Web.Middleware.ImageCacheMiddleware.InvokeAsync(HttpContext context) in C:\Learning\ASPNetMentoring\NorthwindCorp\NorthwindCorp\NorthwindCorp.Web\Middleware\ImageCacheMiddleware.cs:line 85
   at Microsoft.AspNetCore.Diagnostics.DeveloperExceptionPageMiddleware.Invoke(HttpContext context)
2020-11-23 18:09:56.228 +03:00 [WRN] The response has already started, the error page middleware will not be executed.
2020-11-23 18:09:56.230 +03:00 [ERR] Connection ID "17149707382637461511", Request ID "80000008-0000-ee00-b63f-84710c7967bb": An unhandled exception was thrown by the application.
System.ObjectDisposedException: Cannot access a disposed object.
   at System.Threading.TimerQueueTimer.Change(UInt32 dueTime, UInt32 period)
   at System.Threading.Timer.Change(Int32 dueTime, Int32 period)
   at System.Timers.Timer.set_Enabled(Boolean value)
   at NorthwindCorp.Web.Middleware.ImageCacheMiddleware.SetupTimer() in C:\Learning\ASPNetMentoring\NorthwindCorp\NorthwindCorp\NorthwindCorp.Web\Middleware\ImageCacheMiddleware.cs:line 47
